SITE,CONT,NO_SPECIES,NO_ORDERS,NO_FAMILIES,GlobalID,lon_bio,lat_bio,mean_HYP,mean_LOP,mean_FCT_HOD,mean_FCT_AL,mean_FCT_OL,mean_FCT_SF,mean_FCT_OT,mean_FCT_CM,NPP
87120,EU,3,2,2,87120,116.26,-8.7,1,0.666666667,1,0.333333333,0.333333333,0,0,0,2143.601703
87903,EU,5,2,4,87903,111.37,-8.25,1,0.8,1,0.2,0.4,0.2,0,0,2325.686209
87904,EU,5,2,4,87904,111.83,-8.25,1,0.8,1,0.2,0.4,0.2,0,0,2034.876987
87905,EU,5,2,4,87905,112.28,-8.25,1,0.8,1,0.2,0.4,0.2,0,0,2232.471534
87906,EU,5,2,4,87906,112.73,-8.25,1,0.8,1,0.2,0.4,0.2,0,0,2500.18823
87907,EU,5,2,4,87907,113.19,-8.25,1,0.8,1,0.2,0.4,0.2,0,0,1839.219889
87908,EU,5,2,4,87908,113.64,-8.25,1,0.8,1,0.2,0.4,0.2,0,0,2211.289315
87909,EU,6,2,4,87909,114.1,-8.25,1,1,1,0.166666667,0.5,0.333333333,0,0,2471.518623
87914,EU,3,2,2,87914,116.36,-8.25,1,0.666666667,1,0.333333333,0.333333333,0,0,0,1963.12406
88695,EU,5,2,4,88695,110.14,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2315.309051
88696,EU,5,2,4,88696,110.6,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2253.084867
88697,EU,5,2,4,88697,111.05,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2233.998929
88698,EU,5,2,4,88698,111.5,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2144.170163
88699,EU,5,2,4,88699,111.96,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2188.445481
88700,EU,5,2,4,88700,112.41,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2633.203365
88701,EU,5,2,4,88701,112.86,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2363.958656
88702,EU,5,2,4,88702,113.32,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,1763.639122
88703,EU,5,2,4,88703,113.77,-7.8,1,0.8,1,0.2,0.4,0.2,0,0,2468.350963
88704,EU,6,2,5,88704,114.22,-7.8,1.333333333,1,1,0.166666667,0.5,0.166666667,0.166666667,0.166666667,1587.111361
89483,EU,6,2,5,89483,106.67,-7.35,1,0.666666667,1,0.166666667,0.333333333,0.166666667,0,0,2661.745163
89484,EU,6,2,5,89484,107.12,-7.35,1,0.666666667,1,0.166666667,0.333333333,0.166666667,0,0,2673.875383
89485,EU,7,2,5,89485,107.58,-7.35,1,0.857142857,1,0.142857143,0.428571429,0.285714286,0,0,2634.41911
89486,EU,7,2,5,89486,108.03,-7.35,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2551.161306
89487,EU,7,2,5,89487,108.48,-7.35,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2623.330718
89488,EU,7,2,5,89488,108.93,-7.35,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2747.442343
89489,EU,7,2,5,89489,109.39,-7.35,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2697.851213
89490,EU,7,2,5,89490,109.84,-7.35,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2748.112246
89491,EU,5,2,4,89491,110.29,-7.35,1,0.8,1,0.2,0.4,0.2,0,0,2499.524039
89492,EU,5,2,4,89492,110.75,-7.35,1,0.8,1,0.2,0.4,0.2,0,0,2365.64574
89493,EU,5,2,4,89493,111.2,-7.35,1,0.8,1,0.2,0.4,0.2,0,0,2244.104176
89494,EU,5,2,4,89494,111.65,-7.35,1,0.8,1,0.2,0.4,0.2,0,0,2219.624224
89495,EU,5,2,4,89495,112.11,-7.35,1,0.8,1,0.2,0.4,0.2,0,0,2087.839859
89496,EU,5,2,4,89496,112.56,-7.35,1,0.8,1,0.2,0.4,0.2,0,0,2068.869381
90278,EU,7,2,5,90278,106.39,-6.9,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2809.919519
90279,EU,7,2,5,90279,106.84,-6.9,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2571.830319
90280,EU,7,2,5,90280,107.29,-6.9,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2454.403568
90281,EU,7,2,5,90281,107.75,-6.9,1,0.571428571,1,0.142857143,0.285714286,0.142857143,0,0,2356.738346
90282,EU,6,2,5,90282,108.2,-6.9,1,0.666666667,1,0.166666667,0.333333333,0.166666667,0,0,2543.648399
90283,EU,5,2,4,90283,108.65,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,2485.370323
90284,EU,5,2,4,90284,109.1,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,2162.163003
90285,EU,5,2,4,90285,109.56,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,2411.891434
90288,EU,5,2,4,90288,110.91,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,2243.602095
90289,EU,5,2,4,90289,111.37,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,2062.666101
90290,EU,5,2,4,90290,111.82,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,1998.314292
90291,EU,5,2,4,90291,112.27,-6.9,1,0.8,1,0.2,0.4,0.2,0,0,1877.125081
91074,EU,5,2,4,91074,106.13,-6.45,1,0.8,1,0.2,0.4,0.2,0,0,2561.472042
91075,EU,5,2,4,91075,106.58,-6.45,1,0.8,1,0.2,0.4,0.2,0,0,2629.285744
91076,EU,6,2,5,91076,107.03,-6.45,1,0.666666667,1,0.166666667,0.333333333,0.166666667,0,0,2457.294092
91077,EU,5,2,4,91077,107.48,-6.45,1,0.8,1,0.2,0.4,0.2,0,0,2335.464987
91078,EU,5,2,4,91078,107.93,-6.45,1,0.8,1,0.2,0.4,0.2,0,0,2259.504492
91079,EU,5,2,4,91079,108.39,-6.45,1,0.8,1,0.2,0.4,0.2,0,0,2139.040412
91872,EU,5,2,4,91872,106.33,-6,1,0.8,1,0.2,0.4,0.2,0,0,2027.156168
91874,EU,5,2,4,91874,107.24,-6,1,0.8,1,0.2,0.4,0.2,0,0,1954.135006
92666,EU,13,2,7,92666,104.3,-5.55,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2584.158754
92667,EU,13,2,7,92667,104.75,-5.55,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2497.192412
92669,EU,13,2,7,92669,105.65,-5.55,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2201.806086
93464,EU,15,3,9,93464,104.09,-5.1,1.2,0.571428571,1,0.2,0.333333333,0.2,0,0,2546.668535
93465,EU,13,2,7,93465,104.54,-5.1,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2539.997664
93466,EU,13,2,7,93466,104.99,-5.1,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2377.330695
93467,EU,13,2,7,93467,105.45,-5.1,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2299.675662
94262,EU,14,3,8,94262,103.45,-4.66,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.214285714,0.071428571,0.071428571,2568.118361
94263,EU,14,2,8,94263,103.9,-4.66,1.214285714,0.615384615,1,0.142857143,0.357142857,0.214285714,0,0,2520.028097
94264,EU,13,2,7,94264,104.35,-4.66,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2511.669921
94265,EU,13,2,7,94265,104.8,-4.66,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2465.164316
94266,EU,13,2,7,94266,105.25,-4.66,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2463.02928
94267,EU,12,2,7,94267,105.71,-4.66,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2334.139914
